robot_wr,robot_wl,robot_wr_ref,robot_wl_ref,robot_counter,encoder_right,encoder_left
1.84598,1.89412,1.6,1.6,40695,741,732
1.84787,1.89167,1.6,1.6,49589,746,737
1.84959,1.88944,1.6,1.6,58483,752,742
1.85117,1.88743,1.6,1.6,1841,757,748
1.88753,1.88391,1.6,1.6,19629,769,759
1.88399,1.88099,1.6,1.6,37417,780,770
1.91607,1.8797,1.6,1.6,46312,786,775
1.90762,1.87751,1.6,1.6,64100,797,786
1.90397,1.87658,1.6,1.6,7458,802,792
1.90064,1.90935,1.6,1.6,16352,808,798
1.93124,1.90553,1.6,1.6,25246,814,803
1.95909,1.90205,1.6,1.6,34140,820,809
2.00748,1.92662,1.6,1.6,51928,832,820
2.01391,1.95,1.6,1.6,4181,843,832
2.00067,1.94252,1.6,1.6,13075,849,837
1.98862,1.93571,1.6,1.6,21969,855,843
2.0113,1.92951,1.6,1.6,30863,861,849
1.99829,1.95752,1.6,1.6,39757,867,855
2.00933,2.00618,1.6,1.6,57545,880,867
2.03015,1.99364,1.6,1.6,904,886,872
2.06631,2.00548,1.6,1.6,18692,898,884
2.08199,2.02664,1.6,1.6,27586,904,890
2.09626,2.04589,1.6,1.6,36480,910,896
2.0756,2.06341,1.6,1.6,45374,916,902
2.0568,2.07935,1.6,1.6,54268,922,908
2.03969,2.06021,1.6,1.6,63162,928,913
2.02415,2.04282,1.6,1.6,6520,934,919
2.03072,2.04618,1.6,1.6,24309,947,931
2.04961,2.03003,1.6,1.6,33203,953,936
2.08243,2.00197,1.6,1.6,50991,965,948
2.09665,1.9898,1.6,1.6,59885,971,954
2.10962,2.0124,1.6,1.6,3243,977,960
2.1214,1.99929,1.6,1.6,12137,983,965
2.13209,1.98735,1.6,1.6,21032,989,971
2.14184,2.01014,1.6,1.6,29926,995,977
2.15072,1.99724,1.6,1.6,38820,1001,982
2.16614,2.00846,1.6,1.6,56608,1013,994
2.17282,1.99571,1.6,1.6,65502,1019,999
2.18446,1.97357,1.6,1.6,17754,1031,1010
2.18949,1.96396,1.6,1.6,26648,1037,1016
2.19405,1.98884,1.6,1.6,35543,1043,1022
2.19822,1.97786,1.6,1.6,44437,1049,1027
2.16838,1.96787,1.6,1.6,53331,1054,1033
2.15017,1.98416,1.6,1.6,5583,1066,1044
2.16569,1.96399,1.6,1.6,23371,1078,1054
2.17241,1.95525,1.6,1.6,32265,1084,1060
2.15044,1.9064,1.6,1.6,50054,1095,1070
2.1249,1.90284,1.6,1.6,58948,1101,1076
2.10167,1.89963,1.6,1.6,2306,1107,1081
2.11417,1.89668,1.6,1.6,11200,1113,1087
2.09189,1.894,1.6,1.6,20094,1118,1092
2.05319,1.88935,1.6,1.6,37882,1130,1102
